id	Y	cap-shape	cap-surface	cap-color	bruises	odor	gill-attachment	gill-spacing	gill-size	gill-color	stalk-shape	stalk-root	stalk-surface-above-ring	stalk-surface-below-ring	stalk-color-above-ring	stalk-color-below-ring	veil-type	veil-color	ring-number	ring-type	spore-print-color	population	habitat
89	e	f	f	y	t	l	f	w	n	p	t	b	s	s	w	w	p	w	o	p	u	v	d
91	p	f	f	g	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	v	d
92	p	k	y	e	f	f	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
93	p	x	s	p	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	v	d
94	e	k	y	e	t	n	f	c	b	w	e	?	s	s	w	w	p	w	t	e	w	c	w
97	e	f	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	p
99	p	x	s	n	f	y	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	l
100	e	f	f	n	t	n	f	c	b	p	t	b	s	s	g	g	p	w	o	p	n	v	d
101	p	x	y	e	f	f	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	p
102	e	x	y	w	t	a	f	c	b	k	e	c	s	s	w	w	p	w	o	p	n	n	m
103	e	x	s	g	f	n	f	w	b	k	t	e	s	f	w	w	p	w	o	e	n	s	g
105	p	f	y	n	f	f	f	c	n	b	t	?	k	s	p	p	p	w	o	e	w	v	l
106	e	f	f	g	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	n	v	d
107	e	x	f	n	t	n	f	c	b	u	t	b	s	s	p	w	p	w	o	p	k	v	d
110	p	x	f	p	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	n	v	d
111	e	b	s	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g
112	e	f	y	y	t	a	f	c	b	w	e	r	s	y	w	w	p	w	o	p	k	y	p
115	e	b	s	n	f	n	a	c	b	n	e	?	s	s	o	o	p	o	o	p	o	v	l
116	e	x	s	w	f	n	f	w	b	k	t	e	s	f	w	w	p	w	o	e	n	s	g
120	e	f	f	n	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	n	v	d
123	e	x	f	e	t	n	f	c	b	p	t	b	s	s	g	p	p	w	o	p	k	v	d
126	e	f	y	n	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	y	d
127	e	f	y	e	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	y	d
128	p	x	y	g	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	v	d
129	p	x	s	w	f	c	f	c	n	n	e	b	s	s	w	w	p	w	o	p	k	v	d
131	e	x	f	n	f	n	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	v	u
132	e	x	f	n	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	v	d
136	p	f	s	n	t	p	f	c	n	w	e	e	s	s	w	w	p	w	o	p	n	s	u
139	e	x	f	n	t	n	f	c	b	p	t	b	s	s	g	g	p	w	o	p	n	v	d
141	p	f	y	e	f	s	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	d
145	p	f	y	y	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	y	d
146	p	x	y	e	f	y	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	p
149	e	x	f	w	f	n	f	w	b	h	t	e	f	f	w	w	p	w	o	e	n	s	g
150	e	k	s	n	f	n	a	c	b	y	e	?	s	s	o	o	p	n	o	p	b	v	l
151	e	f	s	n	f	n	a	c	b	n	e	?	s	s	o	o	p	o	o	p	y	c	l
153	e	f	f	w	f	n	f	w	b	p	t	e	f	f	w	w	p	w	o	e	k	a	g
155	e	f	y	g	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	k	y	d
160	p	k	s	e	f	f	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
163	p	x	s	n	f	y	f	c	n	b	t	?	k	s	w	p	p	w	o	e	w	v	l
164	p	f	s	b	t	n	f	c	b	g	e	b	s	s	w	w	p	w	t	p	r	v	g
165	p	k	s	e	f	s	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
168	p	x	y	g	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	y	p
169	e	x	y	n	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	s	g
171	p	f	y	e	f	s	f	c	n	b	t	?	k	k	w	p	p	w	o	e	w	v	l
174	e	k	y	p	t	n	f	c	b	w	e	?	s	s	e	e	p	w	t	e	w	c	w
175	e	f	f	g	f	n	f	w	b	h	t	e	s	f	w	w	p	w	o	e	k	s	g
177	p	x	y	n	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	v	u
178	p	f	s	n	f	f	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	l
179	p	x	f	p	f	c	f	c	n	p	e	b	s	s	w	w	p	w	o	p	k	s	d
180	e	f	y	g	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	k	y	d
181	p	k	y	n	f	f	f	c	n	b	t	?	s	k	w	p	p	w	o	e	w	v	p
182	e	f	y	n	t	n	f	c	b	n	t	b	s	s	p	p	p	w	o	p	k	y	d
183	e	k	y	n	t	n	f	c	b	w	e	?	s	s	e	w	p	w	t	e	w	c	w
184	e	x	f	w	f	n	f	w	b	w	e	?	k	k	w	w	p	w	t	p	w	s	g
186	e	x	y	e	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	k	y	d
193	p	x	s	e	f	s	f	c	n	b	t	?	s	k	w	p	p	w	o	e	w	v	l
197	p	x	y	y	f	f	f	c	b	p	e	b	k	k	n	p	p	w	o	l	h	y	g
198	p	x	y	n	f	s	f	c	n	b	t	?	s	k	w	w	p	w	o	e	w	v	p
199	p	x	f	y	f	f	f	c	b	p	e	b	k	k	b	p	p	w	o	l	h	y	p
201	e	b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	g
205	p	f	y	n	f	y	f	c	n	b	t	?	k	k	p	p	p	w	o	e	w	v	l
207	p	f	y	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	y	p
208	e	x	f	w	f	n	f	w	b	g	e	?	s	k	w	w	p	w	t	p	w	s	g
209	e	x	f	e	t	n	f	c	b	n	t	b	s	s	w	w	p	w	o	p	k	y	d
212	p	f	s	n	f	f	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	d
213	e	x	f	n	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	y	d
215	e	k	s	b	t	n	f	c	b	w	e	?	s	s	w	e	p	w	t	e	w	c	w
216	e	x	y	n	t	n	f	c	b	n	t	b	s	s	g	w	p	w	o	p	n	v	d
222	e	x	f	e	t	n	f	c	b	p	t	b	s	s	p	w	p	w	o	p	n	v	d
225	e	b	s	g	f	n	f	w	b	g	e	?	k	s	w	w	p	w	t	p	w	n	g
228	e	x	y	y	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	n	m
231	p	x	y	e	f	y	f	c	n	b	t	?	s	s	p	w	p	w	o	e	w	v	p
232	p	f	s	b	t	f	f	c	b	w	t	b	s	s	w	w	p	w	o	p	h	s	u
236	e	k	y	c	f	n	f	w	n	w	e	b	s	f	w	n	p	w	o	e	w	v	l
237	p	f	f	g	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	v	d
239	e	f	s	e	t	n	f	c	b	w	e	?	s	s	e	e	p	w	t	e	w	c	w
243	p	x	y	e	f	f	f	c	n	b	t	?	k	s	w	w	p	w	o	e	w	v	l
248	p	x	y	g	f	f	f	c	b	g	e	b	k	k	n	n	p	w	o	l	h	v	p
250	p	k	y	n	f	f	f	c	n	b	t	?	k	s	w	w	p	w	o	e	w	v	l
251	e	f	f	g	f	n	f	w	b	k	t	e	f	f	w	w	p	w	o	e	k	s	g
254	e	f	y	n	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	n	y	d
255	e	f	y	e	t	n	f	c	b	p	t	b	s	s	g	w	p	w	o	p	k	v	d
256	e	x	s	n	f	n	f	w	b	k	t	e	f	s	w	w	p	w	o	e	k	a	g
259	e	f	f	n	f	n	f	w	b	p	t	e	f	f	w	w	p	w	o	e	n	s	g
262	p	f	y	g	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	v	d
264	e	k	s	p	t	n	f	c	b	w	e	?	s	s	e	e	p	w	t	e	w	c	w
266	p	x	s	n	f	s	f	c	n	b	t	?	s	s	p	w	p	w	o	e	w	v	l
267	p	f	y	g	f	f	f	c	b	p	e	b	k	k	p	b	p	w	o	l	h	y	g
268	e	f	y	p	t	n	f	c	b	w	e	b	s	s	w	w	p	w	t	p	w	y	p
270	p	k	y	n	f	f	f	c	n	b	t	?	s	s	p	w	p	w	o	e	w	v	p
275	p	f	s	n	f	y	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
278	p	k	s	e	f	f	f	c	n	b	t	?	s	s	p	p	p	w	o	e	w	v	p
279	e	x	f	n	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	y	d
280	e	b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	k	n	g
281	p	x	s	n	f	s	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	l
284	e	s	f	n	f	n	f	c	n	n	e	e	s	s	w	w	p	w	o	p	k	v	u
288	p	f	y	n	f	y	f	c	n	b	t	?	s	s	w	w	p	w	o	e	w	v	l
292	e	f	y	e	t	n	f	c	b	w	t	b	s	s	p	w	p	w	o	p	k	y	d
293	e	f	s	n	f	n	f	w	b	n	t	e	f	s	w	w	p	w	o	e	n	a	g
297	e	x	y	g	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	v	d
299	p	k	y	n	f	s	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	l
300	e	x	y	e	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	y	d
301	p	x	y	g	f	f	f	c	b	p	e	b	k	k	p	b	p	w	o	l	h	y	p
303	e	f	s	w	f	n	f	w	b	p	t	e	f	s	w	w	p	w	o	e	k	a	g
305	p	f	y	g	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	y	g
306	e	f	f	w	f	n	f	w	b	n	t	e	f	f	w	w	p	w	o	e	k	a	g
307	p	f	y	g	f	f	f	c	b	h	e	b	k	k	n	b	p	w	o	l	h	y	g
309	p	k	s	n	f	f	f	c	n	b	t	?	k	k	p	p	p	w	o	e	w	v	d
310	p	k	s	n	f	f	f	c	n	b	t	?	k	s	p	w	p	w	o	e	w	v	p
312	p	x	f	y	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	v	g
315	p	k	y	n	f	s	f	c	n	b	t	?	s	s	p	p	p	w	o	e	w	v	p
316	p	x	s	g	f	c	f	w	n	p	e	b	s	s	w	w	p	w	o	p	k	v	d
319	p	x	y	e	f	f	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
323	p	f	f	y	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	y	g
324	e	f	f	n	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	y	d
327	e	b	s	n	f	n	a	c	b	n	e	?	s	s	o	o	p	n	o	p	n	v	l
328	p	f	y	y	f	f	f	c	b	g	e	b	k	k	p	p	p	w	o	l	h	y	g
329	p	x	y	e	f	f	f	c	n	b	t	?	s	s	p	w	p	w	o	e	w	v	l
330	p	f	y	g	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	d
331	e	x	y	e	t	n	f	c	b	u	t	b	s	s	g	p	p	w	o	p	n	y	d
332	e	x	f	w	t	a	f	w	n	n	t	b	s	s	w	w	p	w	o	p	n	v	d
334	p	f	f	g	f	f	f	c	b	g	e	b	k	k	n	p	p	w	o	l	h	y	p
335	p	x	y	y	f	f	f	c	b	h	e	b	k	k	p	n	p	w	o	l	h	v	g
336	p	f	s	e	f	y	f	c	n	b	t	?	s	s	w	w	p	w	o	e	w	v	l
337	p	f	f	y	f	f	f	c	b	h	e	b	k	k	n	p	p	w	o	l	h	y	d
338	p	x	f	g	f	f	f	c	b	h	e	b	k	k	p	p	p	w	o	l	h	v	g
339	e	f	f	g	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	y	d
340	e	x	y	y	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	n	s	p
341	e	b	f	g	f	n	f	w	b	w	e	?	k	s	w	w	p	w	t	p	w	s	g
343	e	f	f	n	f	n	f	w	b	n	t	e	f	f	w	w	p	w	o	e	n	s	g
344	e	f	f	n	t	n	f	c	b	n	t	b	s	s	g	w	p	w	o	p	k	y	d
350	p	k	y	e	f	s	f	c	n	b	t	?	k	k	p	p	p	w	o	e	w	v	l
351	e	x	y	e	t	n	f	c	b	p	t	b	s	s	p	p	p	w	o	p	k	v	d
354	e	b	s	g	f	n	f	w	b	g	e	?	k	k	w	w	p	w	t	p	w	s	g
355	e	x	f	g	t	n	f	c	b	n	t	b	s	s	p	w	p	w	o	p	k	v	d
358	e	b	f	g	f	n	f	w	b	p	e	?	k	k	w	w	p	w	t	p	w	n	g
359	e	f	s	n	f	n	a	c	b	y	e	?	s	s	o	o	p	n	o	p	n	v	l
360	e	x	f	n	f	n	f	w	b	h	t	e	f	s	w	w	p	w	o	e	k	a	g
362	p	f	f	g	f	f	f	c	b	g	e	b	k	k	b	n	p	w	o	l	h	y	g
363	e	f	f	e	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	n	y	d
367	p	x	s	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	g
370	e	x	y	n	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	y	d
372	p	x	y	g	f	f	f	c	b	p	e	b	k	k	b	n	p	w	o	l	h	y	p
373	e	k	s	e	t	n	f	c	b	e	e	?	s	s	w	w	p	w	t	e	w	c	w
374	p	x	s	w	t	p	f	c	n	n	e	e	s	s	w	w	p	w	o	p	n	s	u
375	e	f	f	c	f	n	f	w	n	w	e	b	f	s	w	n	p	w	o	e	w	v	l
377	e	x	s	n	f	n	f	w	b	h	t	e	f	f	w	w	p	w	o	e	k	s	g
385	e	x	f	w	f	n	f	w	b	k	t	e	s	f	w	w	p	w	o	e	k	s	g
386	e	b	y	y	t	a	f	c	b	n	e	c	s	s	w	w	p	w	o	p	n	s	g
387	p	k	s	e	f	s	f	c	n	b	t	?	s	s	w	w	p	w	o	e	w	v	l
389	e	f	f	g	f	n	f	w	b	n	t	e	s	f	w	w	p	w	o	e	n	s	g
390	p	f	f	g	f	f	f	c	b	h	e	b	k	k	b	b	p	w	o	l	h	v	d
391	e	f	y	b	t	n	f	c	b	e	e	?	s	s	w	e	p	w	t	e	w	c	w
392	p	x	s	g	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	v	g
395	p	x	f	g	f	f	f	c	b	g	e	b	k	k	b	n	p	w	o	l	h	v	p
397	e	f	y	g	t	n	f	c	b	w	t	b	s	s	p	p	p	w	o	p	n	v	d
399	p	x	s	w	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	n	s	u
400	p	x	y	g	f	f	f	c	b	h	e	b	k	k	b	n	p	w	o	l	h	y	p
403	e	f	s	g	f	n	f	w	b	n	t	e	s	f	w	w	p	w	o	e	n	a	g
404	e	f	y	e	t	n	f	c	b	n	t	b	s	s	g	g	p	w	o	p	k	y	d
407	p	f	s	g	t	f	f	c	b	p	t	b	s	s	w	w	p	w	o	p	h	s	u
411	e	f	f	y	t	a	f	w	n	w	t	b	s	s	w	w	p	w	o	p	u	v	d
412	p	x	y	g	f	f	f	c	b	p	e	b	k	k	b	b	p	w	o	l	h	v	g
416	p	f	s	g	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	s	g
417	e	k	f	w	f	n	f	w	b	w	e	?	k	s	w	w	p	w	t	p	w	n	g
419	p	f	y	n	t	p	f	c	n	k	e	e	s	s	w	w	p	w	o	p	k	s	u
421	e	b	s	y	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g
423	p	x	s	n	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	s	g
424	p	x	s	b	t	f	f	c	b	h	t	b	s	f	w	w	p	w	o	p	h	s	g
425	e	x	y	n	t	l	f	c	b	w	e	r	s	y	w	w	p	w	o	p	n	s	g
426	e	x	f	w	f	n	f	w	b	h	t	e	s	s	w	w	p	w	o	e	n	a	g
427	p	x	s	w	f	c	f	w	n	u	e	b	s	s	w	w	p	w	o	p	n	v	d
430	e	f	y	e	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	k	v	d
431	e	f	f	n	t	n	f	c	b	w	t	b	s	s	g	w	p	w	o	p	n	v	d
432	e	k	f	g	f	n	f	w	b	w	e	?	s	k	w	w	p	w	t	p	w	s	g
433	e	f	y	n	t	n	f	c	b	p	t	b	s	s	p	g	p	w	o	p	n	y	d
434	p	x	y	g	f	f	f	c	b	g	e	b	k	k	b	b	p	w	o	l	h	y	g
436	p	k	s	e	f	f	f	c	n	b	t	?	k	k	p	p	p	w	o	e	w	v	l
437	p	k	s	n	f	f	f	c	n	b	t	?	s	k	w	p	p	w	o	e	w	v	d
438	p	k	y	e	f	s	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	d
442	p	k	y	e	f	y	f	c	n	b	t	?	k	s	p	w	p	w	o	e	w	v	l
445	e	b	s	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	k	s	m
447	e	f	f	g	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	n	v	d
448	p	x	s	w	f	c	f	w	n	n	e	b	s	s	w	w	p	w	o	p	k	v	d
449	p	x	f	p	f	c	f	c	n	u	e	b	s	s	w	w	p	w	o	p	k	s	d
455	p	f	f	g	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	g
458	e	x	s	w	t	l	f	c	b	g	e	c	s	s	w	w	p	w	o	p	n	s	g
459	p	f	s	e	f	y	f	c	n	b	t	?	k	s	w	p	p	w	o	e	w	v	l
460	p	f	s	w	t	f	f	c	b	p	t	b	f	s	w	w	p	w	o	p	h	s	u
466	p	x	y	e	f	m	a	c	b	y	e	c	k	y	c	c	p	w	n	n	w	c	d
469	e	x	f	g	t	n	f	c	b	w	t	b	s	s	w	g	p	w	o	p	n	v	d
473	p	x	s	e	f	s	f	c	n	b	t	?	k	s	w	p	p	w	o	e	w	v	d
477	p	x	f	y	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	g
478	p	f	f	y	f	f	f	c	b	p	e	b	k	k	p	p	p	w	o	l	h	v	g
482	e	b	y	w	t	l	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	s	g
484	p	f	s	w	t	p	f	c	n	p	e	e	s	s	w	w	p	w	o	p	k	v	g
485	p	x	s	n	f	f	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	d
486	e	f	s	n	f	n	a	c	b	y	e	?	s	s	o	o	p	n	o	p	y	v	l
490	e	f	y	n	t	n	f	c	b	e	e	?	s	s	w	e	p	w	t	e	w	c	w
492	e	x	y	e	t	n	f	c	b	u	t	b	s	s	p	p	p	w	o	p	n	y	d
493	e	b	s	w	t	a	f	c	b	g	e	c	s	s	w	w	p	w	o	p	k	s	m
494	p	k	s	n	f	f	f	c	n	b	t	?	s	k	p	w	p	w	o	e	w	v	d
497	e	x	f	g	f	n	f	c	n	g	e	e	s	s	w	w	p	w	o	p	k	v	u
501	p	f	f	g	f	f	f	c	b	h	e	b	k	k	b	p	p	w	o	l	h	v	d
503	p	k	y	n	f	y	f	c	n	b	t	?	k	k	p	w	p	w	o	e	w	v	l
504	e	x	y	n	t	n	f	c	b	w	t	b	s	s	w	w	p	w	o	p	k	y	d
505	p	f	f	y	f	f	f	c	b	p	e	b	k	k	n	b	p	w	o	l	h	v	p
506	e	b	y	w	t	a	f	c	b	w	e	c	s	s	w	w	p	w	o	p	n	n	g
508	e	x	f	e	t	n	f	c	b	n	t	b	s	s	w	g	p	w	o	p	k	y	d
510	e	x	f	n	t	n	f	c	b	u	t	b	s	s	w	w	p	w	o	p	k	v	d
511	e	x	f	e	t	n	f	c	b	u	t	b	s	s	p	p	p	w	o	p	n	v	d
512	e	f	s	b	t	n	f	c	b	w	e	?	s	s	e	e	p	w	t	e	w	c	w
513	p	x	s	e	f	f	f	c	n	b	t	?	k	s	p	p	p	w	o	e	w	v	d
515	p	k	y	e	f	s	f	c	n	b	t	?	s	s	w	w	p	w	o	e	w	v	l
516	p	f	y	y	f	f	f	c	b	h	e	b	k	k	n	n	p	w	o	l	h	y	p
518	e	x	f	g	f	n	f	w	b	h	t	e	f	s	w	w	p	w	o	e	k	s	g
523	e	x	f	g	t	n	f	c	b	u	t	b	s	s	p	g	p	w	o	p	k	v	d
524	p	f	f	g	f	f	f	c	b	p	e	b	k	k	p	n	p	w	o	l	h	v	g
525	p	f	f	g	f	f	f	c	b	g	e	b	k	k	b	p	p	w	o	l	h	y	g
529	e	f	s	w	f	n	f	w	b	k	t	e	s	f	w	w	p	w	o	e	n	s	g
536	p	f	y	e	f	y	f	c	n	b	t	?	k	k	w	w	p	w	o	e	w	v	p
537	p	x	f	p	f	c	f	c	n	g	e	b	s	s	w	w	p	w	o	p	k	s	d
540	e	f	f	g	t	n	f	c	b	n	t	b	s	s	w	p	p	w	o	p	n	y	d
542	e	f	y	e	t	n	f	c	b	u	t	b	s	s	g	w	p	w	o	p	k	v	d
544	p	f	y	n	f	s	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	l
547	p	x	f	y	f	f	f	c	b	p	e	b	k	k	n	n	p	w	o	l	h	y	d
550	e	f	y	y	t	l	f	c	b	p	e	r	s	y	w	w	p	w	o	p	k	y	g
551	e	f	f	n	t	n	f	c	b	u	t	b	s	s	w	p	p	w	o	p	k	v	d
553	e	x	s	e	t	n	f	c	b	e	e	?	s	s	w	e	p	w	t	e	w	c	w
560	e	b	s	w	t	l	f	c	b	k	e	c	s	s	w	w	p	w	o	p	k	s	m
563	p	k	s	e	f	y	f	c	n	b	t	?	s	k	p	p	p	w	o	e	w	v	p
564	p	f	f	y	f	f	f	c	b	g	e	b	k	k	p	b	p	w	o	l	h	v	g
566	p	f	f	y	f	f	f	c	b	h	e	b	k	k	p	b	p	w	o	l	h	v	p
568	e	x	f	g	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	n	v	d
571	e	x	y	g	t	n	f	c	b	w	t	b	s	s	g	g	p	w	o	p	k	v	d
573	p	b	s	p	t	n	f	c	b	r	e	b	s	s	w	w	p	w	t	p	r	v	m
577	e	f	f	n	t	n	f	c	b	n	t	b	s	s	p	g	p	w	o	p	k	y	d
580	e	f	f	w	f	n	f	w	b	h	t	e	f	s	w	w	p	w	o	e	n	a	g
583	e	x	y	n	t	n	f	c	b	w	t	b	s	s	w	p	p	w	o	p	n	y	d
